"","X","taxon","EOO.Area.km2","EOO.Status","AOO","AOO.adjusted.Minimum","AOO.Status"
"97",1,"Drymocallis glandulosa",2174954.78332279,"Least Concern (LC)",42700,41400,"Least Concern (LC)"
"98",1,"Echinacea purpurea",1543152.03052009,"Least Concern (LC)",21500,20400,"Least Concern (LC)"
"99",1,"Elymus alaskanus",8038517.66237618,"Least Concern (LC)",16500,15900,"Least Concern (LC)"
"100",1,"Elymus albicans",2335501.19093991,"Least Concern (LC)",18600,18400,"Least Concern (LC)"
"101",1,"Elymus arizonicus",993302.591440527,"Least Concern (LC)",8000,7400,"Least Concern (LC)"
"102",1,"Elymus bakeri",171574.423000303,"Least Concern (LC)",3500,3400,"Possible Near Threatened (NT)"
"103",1,"Elymus canadensis",12901961.4938359,"Least Concern (LC)",141500,138600,"Least Concern (LC)"
"104",1,"Elymus curvatus",1977263.32339846,"Least Concern (LC)",3700,3600,"Possible Near Threatened (NT)"
"105",1,"Elymus elymoides subsp. brevifolius",2403314.02184347,"Least Concern (LC)",101800,100100,"Least Concern (LC)"
"106",1,"Elymus elymoides subsp. californicus",1332897.3558018,"Least Concern (LC)",15400,14400,"Least Concern (LC)"
"107",1,"Elymus elymoides subsp. elymoides",2257367.11743976,"Least Concern (LC)",102500,100700,"Least Concern (LC)"
"108",1,"Elymus elymoides subsp. hordeoides",63161.0342724045,"Least Concern (LC)",1000,1000,"Vulnerable (VU)"
"109",1,"Elymus elymoides",4425724.60128444,"Least Concern (LC)",142000,140400,"Least Concern (LC)"
"110",1,"Elymus glabriflorus",1172952.96845329,"Least Concern (LC)",5500,5400,"Least Concern (LC)"
"111",1,"Elymus glaucus subsp. glaucus",4591646.52964056,"Least Concern (LC)",125900,123900,"Least Concern (LC)"
"112",1,"Elymus glaucus subsp. virescens",2080082.27925271,"Least Concern (LC)",6700,6500,"Least Concern (LC)"
"113",1,"Elymus glaucus",9017062.51050883,"Least Concern (LC)",132000,127200,"Least Concern (LC)"
"114",1,"Elymus hirsutus",1155249.39977322,"Least Concern (LC)",8700,8300,"Least Concern (LC)"
"115",1,"Elymus hystrix",2345189.64463057,"Least Concern (LC)",43200,42200,"Least Concern (LC)"
"116",1,"Elymus lanceolatus subsp. lanceolatus",4089934.95223969,"Least Concern (LC)",22400,22100,"Least Concern (LC)"
"117",1,"Elymus lanceolatus subsp. psammophilus",3299802.52532087,"Least Concern (LC)",1900,1800,"Vulnerable (VU)"
"118",1,"Elymus lanceolatus subsp. riparius",918480.809840342,"Least Concern (LC)",2100,2100,"Possible Near Threatened (NT)"
"119",1,"Elymus lanceolatus",8540188.51168396,"Least Concern (LC)",56900,55400,"Least Concern (LC)"
